School,Latitude,Longitude,mer_coords_x,mer_coords_y,Q3 SY20,Q4 SY20,Summer SY20,Q1 SY21,Q2 SY21,20210115
ADMINISTRATIVE,41.88235794,-87.62813012,-9754718.823837077,5143373.490807601,1,0,0,2,13,13
ADDAMS,41.6987388,-87.53297604,-9744126.320594976,5115958.25854251,0,0,0,1,2,2
AGASSIZ,41.9341263,-87.65622867,-9757846.740118992,5151116.9846722875,0,0,0,0,0,0
AIR FORCE HIGH SCHOOL,41.82814532,-87.63275698,-9755233.884172313,5135271.107854767,0,0,0,0,0,0
ALBANY PARK,41.97150444,-87.71060879,-9763900.307521492,5156711.903068353,0,0,0,0,0,0
ALCOTT ELEMENTARY SCHOOL,41.92984985,-87.64641314,-9756754.080244813,5150477.077361723,0,0,0,1,3,3
ALCOTT HIGH SCHOOL,41.93579456,-87.68056201,-9760555.5157088,5151366.626646795,0,0,0,0,0,0
ALDRIDGE,41.65740497,-87.60647385,-9752308.058832603,5109797.72040539,0,1,0,0,1,1
AMUNDSEN HIGH SCHOOL,41.97506726,-87.67948421,-9760435.535824945,5157245.371268166,1,0,0,1,5,5
ARIEL,41.81117346,-87.59750293,-9751309.421036467,5132735.977584831,0,0,0,1,1,1
ARMOUR,41.83385391,-87.65065316,-9757226.07707918,5136123.965127771,0,0,0,0,0,0
ARMSTRONG G,42.01014998,-87.68444183,-9760987.41471419,5162499.983668224,0,0,0,0,4,4
ASHBURN,41.74235057,-87.70960968,-9763789.087482512,5122462.6028838,0,0,0,0,0,0
ASHE,41.74018379,-87.60117441,-9751718.127996247,5122139.34142129,0,0,0,0,1,1
AUDUBON,41.94506223,-87.68104105,-9760608.842259424,5152753.580805078,0,0,0,0,2,2
AUSTIN CCA HIGH SCHOOL,41.88599329,-87.76191637,-9769611.841654427,5143917.0600845665,0,1,1,1,1,1
AVALON PARK,41.74824699,-87.59165381,-9750658.299964672,5123342.3465694,0,0,0,0,0,0
AVONDALE-LOGANDALE,41.9341418,-87.70787059,-9763595.492579754,5151119.3041370865,1,1,0,0,0,0
AZUELA,41.77107907,-87.73992023,-9767163.242667405,5126749.642179138,0,0,0,0,2,2
BACK OF THE YARDS HIGH SCHOOL,41.80841254,-87.67754137,-9760219.259078156,5132323.635555379,0,0,0,0,0,0
BARNARD,41.70513101,-87.65807422,-9758052.186541626,5116911.329575118,0,0,0,0,2,2
BARRY,41.93251058,-87.73938835,-9767104.033750268,5150875.211635131,0,0,0,0,0,0
BARTON,41.75419385,-87.67092713,-9759482.965343894,5124229.69594738,0,1,0,0,2,2
BASS,41.77424645,-87.65353242,-9757546.595248016,5127222.414754062,0,0,0,0,0,0
BATEMAN,41.95821984,-87.70215096,-9762958.78654128,5154723.031662826,0,0,0,0,4,4
BEARD,41.97012488,-87.78963033,-9772696.945440443,5156505.346292604,0,1,1,0,2,2
BEASLEY,41.79846496,-87.62569158,-9754447.366928307,5130838.115778682,0,0,0,0,1,1
BEAUBIEN,41.97239395,-87.75756504,-9769127.453419348,5156845.087421871,0,0,0,0,0,0
BEETHOVEN,41.80913476,-87.62713681,-9754608.2488557,5132431.496218624,0,0,0,0,1,1
