School,SchoolHyphen,Latitude,Longitude
ADMINISTRATIVE,ADMINISTRATIVE,41.88235794,-87.62813012
ADDAMS,ADDAMS,41.6987388,-87.53297604
AGASSIZ,AGASSIZ,41.9341263,-87.65622867
AIR FORCE HIGH SCHOOL,AIR-FORCE-HIGH-SCHOOL,41.82814532,-87.63275698
ALBANY PARK,ALBANY-PARK,41.97150444,-87.71060879
ALCOTT ELEMENTARY SCHOOL,ALCOTT-ELEMENTARY-SCHOOL,41.92984985,-87.64641314
ALCOTT HIGH SCHOOL,ALCOTT-HIGH-SCHOOL,41.93579456,-87.68056201
ALDRIDGE,ALDRIDGE,41.65740497,-87.60647385
AMUNDSEN HIGH SCHOOL,AMUNDSEN-HIGH-SCHOOL,41.97506726,-87.67948421
ARIEL,ARIEL,41.81117346,-87.59750293
ARMOUR,ARMOUR,41.83385391,-87.65065316
ARMSTRONG G,ARMSTRONG-G,42.01014998,-87.68444183
ASHBURN,ASHBURN,41.74235057,-87.70960968
ASHE,ASHE,41.74018379,-87.60117441
AUDUBON,AUDUBON,41.94506223,-87.68104105
AUSTIN CCA HIGH SCHOOL,AUSTIN-CCA-HIGH-SCHOOL,41.88599329,-87.76191637
AVALON PARK,AVALON-PARK,41.74824699,-87.59165381
AVONDALE-LOGANDALE,AVONDALE-LOGANDALE,41.9341418,-87.70787059
AZUELA,AZUELA,41.77107907,-87.73992023
BACK OF THE YARDS HIGH SCHOOL,BACK-OF-THE-YARDS-HIGH-SCHOOL,41.80841254,-87.67754137
BARNARD,BARNARD,41.70513101,-87.65807422
BARRY,BARRY,41.93251058,-87.73938835
BARTON,BARTON,41.75419385,-87.67092713
BASS,BASS,41.77424645,-87.65353242
BATEMAN,BATEMAN,41.95821984,-87.70215096
BEARD,BEARD,41.97012488,-87.78963033
BEASLEY,BEASLEY,41.79846496,-87.62569158
BEAUBIEN,BEAUBIEN,41.97239395,-87.75756504
BEETHOVEN,BEETHOVEN,41.80913476,-87.62713681
BEIDLER,BEIDLER,41.88532104,-87.70585481
BELDING,BELDING,41.95893849,-87.73401973
BELL,BELL,41.9495298,-87.68601824
BELMONT-CRAGIN,BELMONT-CRAGIN,41.92160396,-87.75795257
BENNETT,BENNETT,41.71043495,-87.61739046
BLACK,BLACK,41.72969236,-87.57664295
BLAINE,BLAINE,41.95078052,-87.66496784
BLAIR,BLAIR,41.77655627,-87.79060442
BOGAN HIGH SCHOOL,BOGAN-HIGH-SCHOOL,41.74937561,-87.72109745
BOND,BOND,41.76536057,-87.65301779
BOONE,BOONE,42.00341161,-87.69746282
BOUCHET,BOUCHET,41.76084748,-87.57607486
BOWEN HIGH SCHOOL,BOWEN-HIGH-SCHOOL,41.73462672,-87.55755003
BRADWELL,BRADWELL,41.75436513,-87.55714197
BRENNEMANN,BRENNEMANN,41.95998416,-87.64974917
BRENTANO,BRENTANO,41.9309661,-87.6962942
BRIDGE,BRIDGE,41.94911439,-87.79866892
BRIGHT,BRIGHT,41.69972622,-87.56208423
BRIGHTON PARK,BRIGHTON-PARK,41.8239,-87.69207693
BRONZEVILLE CLASSICAL,BRONZEVILLE-CLASSICAL,41.81991148,-87.62667806
BRONZEVILLE HIGH SCHOOL,BRONZEVILLE-HIGH-SCHOOL,41.80520417,-87.62500447
BROOKS HIGH SCHOOL,BROOKS-HIGH-SCHOOL,41.69276253,-87.61635261
BROWN R,BROWN-R,41.66487335,-87.63895773
BROWN W,BROWN-W,41.88299679,-87.67068239
BROWNELL,BROWNELL,41.77162036,-87.62174597
BRUNSON,BRUNSON,41.89766257,-87.76560566
BUDLONG,BUDLONG,41.97575433,-87.69655603
BURBANK,BURBANK,41.91759814,-87.78269957
BURKE,BURKE,41.79675956,-87.61614052
BURLEY,BURLEY,41.93793747,-87.66985312
BURNHAM,BURNHAM,41.71440206,-87.56713059
BURNSIDE,BURNSIDE,41.72848064,-87.60743532
BURR,BURR,41.91235791,-87.6686606
BURROUGHS,BURROUGHS,41.82886791,-87.69245663
BYRNE,BYRNE,41.79503097,-87.79154448
CALDWELL,CALDWELL,41.73922636,-87.58072903
CALMECA,CALMECA,41.82437733,-87.71165364
CAMERON,CAMERON,41.90379212,-87.71792664
CAMRAS,CAMRAS,41.93493062,-87.77012726
CANTY,CANTY,41.94800703,-87.8292957
CARDENAS,CARDENAS,41.84848777,-87.71601741
CARNEGIE,CARNEGIE,41.78336832,-87.59079501
CARROLL,CARROLL,41.74251663,-87.69601208
CARSON,CARSON,41.79327214,-87.68779954
CARTER,CARTER,41.78982791,-87.62245275
CARVER G,CARVER-G,41.65370212,-87.59951563
CARVER MILITARY HIGH SCHOOL,CARVER-MILITARY-HIGH-SCHOOL,41.65628995,-87.59062039
CASALS,CASALS,41.90450276,-87.71423365
CASSELL,CASSELL,41.68734706,-87.70321549
CATHER,CATHER,41.88294992,-87.69918701
CHALMERS,CHALMERS,41.86643525,-87.69525937
CHAPPELL,CHAPPELL,41.9758943,-87.68326359
CHASE,CHASE,41.91799265,-87.69456225
CHAVEZ,CHAVEZ,41.80714283,-87.66603693
CHICAGO ACADEMY ELEMENTARY SCHOOL,CHICAGO-ACADEMY-ELEMENTARY-SCHOOL,41.94305592,-87.7781868
CHICAGO ACADEMY HIGH SCHOOL,CHICAGO-ACADEMY-HIGH-SCHOOL,41.94305449,-87.77684657
CHICAGO AGRICULTURE HIGH SCHOOL,CHICAGO-AGRICULTURE-HIGH-SCHOOL,41.69122074,-87.71776967
CHICAGO MILITARY HIGH SCHOOL,CHICAGO-MILITARY-HIGH-SCHOOL,41.83055498,-87.61921554
CHICAGO VOCATIONAL HIGH SCHOOL,CHICAGO-VOCATIONAL-HIGH-SCHOOL,41.73717393,-87.57326752
CHOPIN,CHOPIN,41.89671269,-87.68893676
CHRISTOPHER,CHRISTOPHER,41.80165863,-87.685607
CLAREMONT,CLAREMONT,41.77751051,-87.6810612
CLARK ELEMENTARY SCHOOL,CLARK-ELEMENTARY-SCHOOL,41.86781257,-87.77041753
CLARK HIGH SCHOOL,CLARK-HIGH-SCHOOL,41.87288501,-87.75332487
CLAY,CLAY,41.65455815,-87.5446136
CLEMENTE HIGH SCHOOL,CLEMENTE-HIGH-SCHOOL,41.90262579,-87.68690615
CLEVELAND,CLEVELAND,41.95204212,-87.70644253
CLINTON,CLINTON,41.99254136,-87.69835995
CLISSOLD,CLISSOLD,41.69302601,-87.68089679
COLEMON,COLEMON,41.67750545,-87.65811084
COLES,COLES,41.74141281,-87.56596977
COLLINS HIGH SCHOOL,COLLINS-HIGH-SCHOOL,41.86414857,-87.70204159
COLUMBIA EXPLORERS,COLUMBIA-EXPLORERS,41.81106861,-87.70419859
COLUMBUS,COLUMBUS,41.89956578,-87.68193805
COOK,COOK,41.74523702,-87.65977459
COONLEY,COONLEY,41.9555532,-87.6837653
COOPER,COOPER,41.85603119,-87.66722708
CORKERY,CORKERY,41.84560242,-87.73119287
CORLISS HIGH SCHOOL,CORLISS-HIGH-SCHOOL,41.70665962,-87.60121588
COURTENAY,COURTENAY,41.96230777,-87.66385296
CRANE MEDICAL HIGH SCHOOL,CRANE-MEDICAL-HIGH-SCHOOL,41.87694744,-87.68330135
CROWN,CROWN,41.85266349,-87.71247015
CUFFE,CUFFE,41.74245163,-87.65363345
CULLEN,CULLEN,41.70033514,-87.61124446
CURIE HIGH SCHOOL,CURIE-HIGH-SCHOOL,41.80306021,-87.72204165
CURTIS,CURTIS,41.6854184,-87.62165261
DALEY,DALEY,41.80234287,-87.6722064
DARWIN,DARWIN,41.92332272,-87.70541291
DAVIS M,DAVIS-M,41.77122111,-87.66652988
DAVIS N,DAVIS-N,41.82185161,-87.70020216
DAWES,DAWES,41.74507775,-87.71735342
DE DIEGO,DE-DIEGO,41.90529385,-87.6857562
DECATUR,DECATUR,42.00928856,-87.70461859
DENEEN,DENEEN,41.76249026,-87.62334459
DEPRIEST,DEPRIEST,41.87797883,-87.76629755
DETT,DETT,41.87986982,-87.68031497
DEVER,DEVER,41.94255167,-87.81313153
DEVRY HIGH SCHOOL,DEVRY-HIGH-SCHOOL,41.94138764,-87.69076139
DEWEY,DEWEY,41.79564568,-87.64265158
DIRKSEN,DIRKSEN,41.97371478,-87.84104144
DISNEY,DISNEY,41.95681613,-87.64608274
DISNEY II ELEMENTARY SCHOOL,DISNEY-II-ELEMENTARY-SCHOOL,41.95046051,-87.73067838
DISNEY II HIGH SCHOOL,DISNEY-II-HIGH-SCHOOL,41.95248767,-87.72136351
DIXON,DIXON,41.74366924,-87.60997887
DOOLITTLE,DOOLITTLE,41.83112063,-87.61227454
DORE,DORE,41.78095446,-87.78760442
DOUGLASS HIGH SCHOOL,DOUGLASS-HIGH-SCHOOL,41.89036863,-87.76766846
DRAKE,DRAKE,41.84404331,-87.62855345
DRUMMOND,DRUMMOND,41.9159138,-87.6744946
DUBOIS,DUBOIS,41.65373298,-87.61432001
DULLES,DULLES,41.77990049,-87.61721418
DUNBAR HIGH SCHOOL,DUNBAR-HIGH-SCHOOL,41.84022557,-87.61763743
DUNNE,DUNNE,41.69649616,-87.6399736
DURKIN PARK,DURKIN-PARK,41.73884394,-87.72995529
DVORAK,DVORAK,41.85888345,-87.71574357
DYETT ARTS HIGH SCHOOL,DYETT-ARTS-HIGH-SCHOOL,41.80120417,-87.61223911
EARHART,EARHART,41.72610746,-87.58218174
EARLE,EARLE,41.78122517,-87.67554666
EBERHART,EBERHART,41.77442045,-87.70795263
EBINGER,EBINGER,42.00440792,-87.81116978
EDGEBROOK,EDGEBROOK,41.99943683,-87.76184047
EDISON,EDISON,41.9715061,-87.70930367
EDISON PARK,EDISON-PARK,41.99423795,-87.81377123
EDWARDS,EDWARDS,41.80554154,-87.72585618
ELLINGTON,ELLINGTON,41.88552958,-87.76658938
ENGLEWOOD STEM HIGH SCHOOL,ENGLEWOOD-STEM-HIGH-SCHOOL,41.77028021,-87.63602379
ERICSON,ERICSON,41.87574412,-87.71580443
ESMOND,ESMOND,41.68941961,-87.66915867
EVERETT,EVERETT,41.83155516,-87.6813103
EVERGREEN,EVERGREEN,41.82935562,-87.66781651
EVERS,EVERS,41.71566536,-87.63930547
FAIRFIELD,FAIRFIELD,41.7809039,-87.69211506
FALCONER,FALCONER,41.93578457,-87.74933063
FARADAY,FARADAY,41.87971359,-87.70809202
FARNSWORTH,FARNSWORTH,41.97979006,-87.76607166
FARRAGUT HIGH SCHOOL,FARRAGUT-HIGH-SCHOOL,41.84855987,-87.70870563
FENGER HIGH SCHOOL,FENGER-HIGH-SCHOOL,41.68995073,-87.63757205
FERNWOOD,FERNWOOD,41.71118362,-87.64041365
FIELD,FIELD,42.00966386,-87.6699854
FINKL,FINKL,41.84921491,-87.68566784
FISKE,FISKE,41.78518282,-87.6086329
FOREMAN HIGH SCHOOL,FOREMAN-HIGH-SCHOOL,41.93979677,-87.75416654
FORT DEARBORN,FORT-DEARBORN,41.72967267,-87.65548116
FOSTER PARK,FOSTER-PARK,41.73842548,-87.66809931
FRANKLIN,FRANKLIN,41.90659999,-87.63551281
FRAZIER PROSPECTIVE,FRAZIER-PROSPECTIVE,41.86697963,-87.72724438
FULLER,FULLER,41.8180034,-87.61178404
FULTON,FULTON,41.79758027,-87.66843588
FUNSTON,FUNSTON,41.91761651,-87.71689166
GAGE PARK HIGH SCHOOL,GAGE-PARK-HIGH-SCHOOL,41.79101284,-87.68895394
GALE,GALE,42.02109056,-87.67193898
GALILEO,GALILEO,41.87125482,-87.65336555
GALLISTEL,GALLISTEL,41.706801,-87.53517531
GARVEY,GARVEY,41.70660286,-87.64757717
GARVY,GARVY,41.97635166,-87.79623511
GARY,GARY,41.83706515,-87.71869664
GILLESPIE,GILLESPIE,41.72533228,-87.62371944
GOETHE,GOETHE,41.92283101,-87.6928997
GOODE HIGH SCHOOL,GOODE-HIGH-SCHOOL,41.7537498,-87.70734535
GOUDY,GOUDY,41.97581653,-87.65791249
GRAHAM ELEMENTARY SCHOOL,GRAHAM-ELEMENTARY-SCHOOL,41.81330373,-87.64334424
GRAHAM HIGH SCHOOL,GRAHAM-HIGH-SCHOOL,41.84967542,-87.62531482
GRAY,GRAY,41.94876358,-87.7571156
GREELEY,GREELEY,41.95280951,-87.65097987
GREEN,GREEN,41.71929195,-87.65250014
GREENE,GREENE,41.82966928,-87.67149237
GREGORY,GREGORY,41.87074216,-87.71866613
GRESHAM,GRESHAM,41.73892016,-87.64502524
GRIMES,GRIMES,41.77546426,-87.75880329
GRISSOM,GRISSOM,41.662481,-87.55330671
GUNSAULUS,GUNSAULUS,41.81300737,-87.69936419
HAINES,HAINES,41.84995832,-87.63380633
HALE,HALE,41.78019173,-87.77657871
HALEY,HALEY,41.68665997,-87.63363214
HAMILTON,HAMILTON,41.94521966,-87.67086537
HAMLINE,HAMLINE,41.80724156,-87.66117466
HAMMOND,HAMMOND,41.85271913,-87.6962433
HAMPTON,HAMPTON,41.75345719,-87.70873128
HANCOCK HIGH SCHOOL,HANCOCK-HIGH-SCHOOL,41.79146391,-87.72447046
HANSON PARK,HANSON-PARK,41.92395526,-87.76151477
HARLAN HIGH SCHOOL,HARLAN-HIGH-SCHOOL,41.71837235,-87.62062344
HARPER HIGH SCHOOL,HARPER-HIGH-SCHOOL,41.77512408,-87.6690893
HARTE,HARTE,41.79344724,-87.5868546
HARVARD,HARVARD,41.75734054,-87.63273687
HAUGAN,HAUGAN,41.96402871,-87.72312804
HAWTHORNE,HAWTHORNE,41.94227549,-87.65770888
